機種,カテゴリ,症状,修理料金,所要時間,類似
iPhone XS Max,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,12800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone XS Max,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone XS Max,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone XS Max,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone XS Max,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,10800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone XS Max,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone XS Max,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone XS Max,データ復旧,データ復旧（電源が入らない・基板修理）,29800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone XS,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,11800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone XS,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone XS,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone XS,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone XS,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,10800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone XS,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone XS,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone XS,データ復旧,データ復旧（電源が入らない・基板修理）,29800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone XR,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,11800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone XR,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone XR,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone XR,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone XR,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,10800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone XR,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone XR,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone XR,データ復旧,データ復旧（電源が入らない・基板修理）,29800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone X,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,11800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone X,バッテリー交換,電池の減りが早い（バッテリー交換）,6800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone X,ホームボタン修理,ホームボタンが効かない（故障）,対象外,対象外,#ホームが効かない #反応しない #戻るボタン使えない
iPhone X,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone X,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,10800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone X,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone X,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone X,データ復旧,データ復旧（電源が入らない・基板修理）,29800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone SE（第3世代）,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone SE（第3世代）,バッテリー交換,電池の減りが早い（バッテリー交換）,7800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone SE（第3世代）,ホームボタン修理,ホームボタンが効かない（故障）,11800,60分,#ホームが効かない #反応しない #戻るボタン使えない
iPhone SE（第3世代）,充電ポート修理,充電口修理（差し込み不良・充電できない）,11800,180分,#ライトニング不良 #電源が入らない #コネクタ不良
iPhone SE（第3世代）,カメラ修理,カメラが映らない・写真が撮れない（リアカメラ交換）,7800,60分,#カメラ真っ暗 #ピント合わない #シャッターが押せない
iPhone SE（第3世代）,リアパネル交換,背面が割れた・背面ガラスのヒビ（リアパネル交換）,要問い合わせ,要問い合わせ,#背面が割れた #裏ガラス破損 #リアパネル破損
iPhone SE（第3世代）,基板洗浄,水没した・水に落とした（基板洗浄）,9800,180分,#水に落とした #水濡れ #起動しない #水没
iPhone SE（第3世代）,データ復旧,データ復旧（電源が入らない・基板修理）,35800,3日～4日,#電源が入らない #データだけ欲しい #基板破損
iPhone SE（第2世代）,画面交換,画面交換（割れ・映らない・表示・タッチ不良など）,8800,60分,#真っ暗 #表示されない #ディスプレイ不良 #画面が割れた #ヒビ #液晶不良
iPhone SE（第2世代）,バッテリー交換,電池の減りが早い（バッテリー交換）,5800,60分,#電池の減りが早い #充電が持たない #電源が落ちる
iPhone SE（第2世代）,ホームボタン修理,ホームボタンが効かない（故障）,11800,60分,#ホームが効かない #反応しない #戻るボタン使えない
